prompt_text,token_count,complexity_terms,turn_type,context_provided,context_window,task_type,tier
Help me think through the tradeoffs of switching careers into data science,18,False,one_shot,True,32000,Other,2
Help a nonprofit decide between two vendors for a new CRM system,15,False,multi_turn,True,16000,Other,3
Sort these transactions into expense categories: the attached report,13,False,one_shot,True,4096,Classification,2
Summarize the key takeaways from this contract,11,True,one_shot,True,8192,Summarization,2
Help me think through the tradeoffs of switching careers into data science,19,False,multi_turn,False,0,Other,3
Extract the names of people mentioned in the survey responses,14,False,one_shot,True,8192,Extraction,1
Why do people find space exploration so polarizing?,14,False,multi_turn,False,0,Open QA,1
Write a short toast for a wedding,9,False,multi_turn,False,0,Text Generation,1
Generate a catchy name for a podcast about machine learning,16,False,multi_turn,True,8192,Text Generation,1
Generate ideas for reducing churn at a healthcare provider,14,False,one_shot,False,0,Brainstorming,2
Generate a tagline for a coffee shop,10,False,multi_turn,False,0,Text Generation,1
Translate this paragraph into German: the pasted transcript,11,False,one_shot,True,16000,Rewrite,3
Why do people procrastinate?,8,False,multi_turn,False,0,Open QA,1
How does exercise affect mood?,8,False,one_shot,False,0,Open QA,1
Help me think through the tradeoffs of switching careers into data science,19,False,multi_turn,True,32000,Other,3
Rewrite this email to sound more formal: the attached report,16,False,one_shot,True,128000,Rewrite,3
Pull the total amount due from the customer feedback log,14,False,one_shot,True,2048,Extraction,1
"Classify these 5 support tickets as billing, technical, or account issues: the attached report",21,False,one_shot,True,8192,Classification,2
Come up with 12 creative team-building activity ideas,12,False,one_shot,False,0,Brainstorming,2
What's the capital of France?,7,False,multi_turn,False,0,Closed QA,1
Convert this passive-voice paragraph into active voice: this text block,15,False,multi_turn,True,32000,Rewrite,3
Tag each sentence in the customer feedback log with its sentiment,17,False,one_shot,True,16000,Classification,2
Give me a one-paragraph summary of the shared Google Doc,14,False,multi_turn,True,8192,Summarization,3
Extract the names of people mentioned in the email thread below,17,False,multi_turn,True,2048,Extraction,2
Sort these 20 resumes into 'interview' or 'reject' piles: this contract,16,False,one_shot,True,32000,Classification,2
Why is the sky blue?,7,False,one_shot,True,4096,Open QA,1
"Classify these 3 support tickets as billing, technical, or account issues: the pasted transcript",21,False,one_shot,True,16000,Classification,2
How many days are in a leap year?,12,False,one_shot,False,0,Closed QA,1
Generate ideas for reducing churn at a nonprofit,10,False,one_shot,False,0,Brainstorming,3
Write a short out-of-office auto-reply message,10,False,one_shot,False,0,Text Generation,1
"Continuing from before, can you help me refine the plan we outlined?",19,False,one_shot,False,0,Chatbot,3
"Going back to what Jordan suggested earlier, can we explore that option further?",20,False,multi_turn,False,0,Chatbot,3
What makes a good leader?,9,False,one_shot,False,0,Open QA,1
"Going back to what Maria suggested earlier, can we explore that option further?",19,False,multi_turn,False,0,Chatbot,3
What is the square root of 144?,8,False,one_shot,False,0,Closed QA,1
"Debug this code snippet, it throws a null pointer exception: the meeting notes",20,False,multi_turn,True,200000,Code Generation,3
We've been chatting about my trip to Japan — can you now help me build a full itinerary based on everything I've told you?,31,False,one_shot,False,0,Chatbot,3
Generate a catchy name for a podcast about space exploration,14,False,one_shot,False,0,Text Generation,1
Let's keep going — what should the next step in our plan be?,18,False,one_shot,False,0,Chatbot,2
"Plan a full 3-day trip itinerary for Kyoto including food, culture, and budget considerations",20,False,multi_turn,False,0,Other,3
Categorize these emails as spam or not spam: the pasted transcript,14,False,one_shot,True,8192,Classification,2
Walk me through how to negotiate a higher starting salary for a new job offer,21,False,multi_turn,True,128000,Other,3
Tag each ticket in the uploaded spreadsheet by urgency level,14,False,multi_turn,True,16000,Classification,3
Give me a TL;DR of this contract,8,False,one_shot,True,8192,Summarization,2
Provide an executive summary of this text block,11,False,one_shot,True,32000,Summarization,3
What causes inflation?,4,False,multi_turn,False,0,Open QA,1
What is the square root of 144?,8,False,multi_turn,True,2048,Closed QA,2
Simplify this paragraph for a 5th-grade reading level: the customer feedback log,17,False,multi_turn,True,200000,Rewrite,3
Categorize these emails as spam or not spam: the attached report,14,False,one_shot,True,4096,Classification,2
Summarize the key takeaways from this contract,10,True,one_shot,True,32000,Summarization,2
Give me 8 name ideas for a new fitness app,11,False,one_shot,False,0,Brainstorming,2
"Following up on my last message, can you go deeper into the second point?",20,False,multi_turn,True,32000,Chatbot,3
What's the capital of France?,8,False,multi_turn,True,8192,Closed QA,2
Write a recursive function to compute Fibonacci numbers in Java,15,False,one_shot,False,0,Code Generation,3
Brainstorm 20 icebreaker questions for a remote team offsite,15,False,one_shot,False,0,Brainstorming,3
Summarise the main arguments made in the attached report about supply chain logistics,21,True,multi_turn,True,32000,Summarization,3
Write a Java function that merges two sorted linked lists,16,False,multi_turn,True,128000,Code Generation,3
List the company names referenced in this contract,12,False,multi_turn,True,2048,Extraction,2
"Following up on my last message, can you go deeper into the second point?",19,False,multi_turn,False,0,Chatbot,3
Who wrote Romeo and Juliet?,7,False,multi_turn,False,0,Closed QA,1
Sort these 20 resumes into 'interview' or 'reject' piles: the shared Google Doc,20,False,one_shot,True,32000,Classification,2
Implement a binary search function in SQL,9,False,one_shot,False,0,Code Generation,3
Condense the survey responses into a short abstract,13,False,one_shot,True,8192,Summarization,2
Why do people procrastinate?,5,False,one_shot,False,0,Open QA,1
Implement a binary search function in Go,9,False,one_shot,True,200000,Code Generation,3
Give me a TL;DR of the customer feedback log,12,False,multi_turn,True,16000,Summarization,2
Summarise the survey responses for someone with no background knowledge,14,True,multi_turn,True,16000,Summarization,2
Extract the 15 action items from the attached report,14,False,one_shot,True,8192,Extraction,1
Design a study plan for the next 6 weeks to prepare for the GRE,17,False,multi_turn,False,0,Other,3
Rewrite this product description to sound more persuasive: the customer feedback log,17,False,one_shot,True,16000,Rewrite,3
Help a SaaS startup decide between two vendors for a new CRM system,16,False,multi_turn,False,0,Other,3
Draft a decision framework for choosing between three job offers,13,False,multi_turn,True,128000,Other,2
Give me a TL;DR of the pasted transcript,11,False,one_shot,True,32000,Summarization,2
Write a SQL query to find the top 10 customers by revenue,17,False,multi_turn,False,0,Code Generation,3
Draft a decision framework for choosing between three job offers,16,False,one_shot,False,0,Other,3
Tag each sentence in the uploaded spreadsheet with its sentiment,14,False,multi_turn,True,4096,Classification,2
