id,prompt_text,prompt_token_count,has_complexity_term,turn_type,context_window_tokens,context_provided,task_type,tier_floor,escalation_score,tier
1,"Rewrite the landing page headline attached for our support team. Use British spelling throughout. Then analyse which section is weakest for that audience and say why. Do not use bullet points anywhere in the body. Avoid naming any competitor, even indirectly. Leave a placeholder where the legal team needs to insert the disclaimer. End with a call to action pointing at the docs. Match the tone of the style guide pasted below rather than your default voice. Write it so a developer audience could follow it without any background in the area. Assume the reader has already seen the teaser we sent last week. Do not promise any delivery date we have not publicly committed to. Include two short quotes attributed to the engineering lead. Keep every sentence under 20 words so it stays scannable on mobile.",185,True,one_shot,14140,True,Rewrite,3,3,3
2,Extract every payment term and postcode from the customer review batch below and put them in a table. Keep the original identifiers so I can join this back to the source.,42,False,one_shot,1050,True,Extraction,1,0,1
3,"Pull the top five takeaways out of the policy document below and note anything the author leaves unsupported. Sanity check the arithmetic before you present any figure. Distinguish the near-term implications from the structural ones. Where two sources disagree, say which one you weighted more and why.",63,True,multi_turn,4410,True,Summarization,2,3,3
4,"Label each of the 100 entries in the policy document below as billing, technical or account access.",23,False,one_shot,790,True,Classification,2,0,2
5,Summarise the shift handover log below in 50 bullets. Point out anything a reviewer would immediately push back on.,26,True,one_shot,4280,True,Summarization,2,2,3
6,Pull the top five takeaways out of the audit report below and note anything the author leaves unsupported. Compare it against the version we discussed earlier in this thread. Separate clearly what the data supports from what is your inference.,54,True,one_shot,1870,True,Summarization,2,1,2
7,"Go through the incident postmortems attached and mark which ones touch on remote patient monitoring. Preserve the original ordering of the records. Strip out the internal test records before you count anything. Treat blank and zero as different things. Use ISO dates throughout. Keep the original identifiers so I can join this back to the source. Do not reformat any field I have not asked you to touch. Normalise the currency values to USD and say what rate you used. Tell me how many records you skipped and on what grounds. Add a count of how many records fell into each bucket. Add a final row with the totals for the numeric columns. Sort the output by the most recent date first. Where a field appears twice with different values, show both. Flag any duplicate entries rather than silently collapsing them.",190,False,multi_turn,14260,True,Classification,2,3,3
8,Make that version plainer.,5,False,multi_turn,3410,True,Rewrite,3,1,3
9,"Give me a first draft of a job posting for a procurement committee, based on the lease agreement below. Do not use bullet points anywhere in the body. Assume the reader has already seen the teaser we sent last week. Mirror the structure of the last announcement so the series feels consistent. Write it so a developer audience could follow it without any background in the area. Leave a placeholder where the legal team needs to insert the disclaimer.",107,False,one_shot,16970,True,Text Generation,1,2,2
10,"Using only the earnings call transcript below, does it say anything about freight rail scheduling?",20,False,one_shot,1290,True,Closed QA,1,0,1
11,Plan a 250-day itinerary for Osaka around swarm robotics. Flag anywhere you had to invent a detail I will need to check. Do not use bullet points anywhere in the body.,42,False,one_shot,0,False,Other,3,0,3
12,"Based on the attached customer review batch, when is the job title?",16,False,one_shot,630,True,Closed QA,1,0,1
13,"Looking back at the onboarding guide I shared earlier, what did it say about the second trial arm? Flag anything where the source is ambiguous instead of guessing.",38,False,multi_turn,2100,True,Closed QA,1,1,1
14,Extract every dosage and renewal date from the lease agreement below and put them in a table.,23,False,one_shot,1280,True,Extraction,1,0,1
15,What would it take to get into carbon offset registries with no background in it? Flag anything where the source is ambiguous instead of guessing.,34,False,one_shot,0,False,Open QA,1,0,1
16,Give me just the root cause from the text above.,14,True,one_shot,500,True,Extraction,1,1,1
17,"Give me 25 angles on esports sponsorship, then analyse which three are most defensible. Tell me what evidence would change your mind on the main claim. Rank the findings by how much each would change the decision.",50,True,one_shot,1020,True,Brainstorming,3,1,3
18,Rewrite this conference abstract so it sounds friendlier. Keep it under 6 words.,18,False,one_shot,1470,True,Rewrite,3,0,3
19,"Looking back at the Slack export I shared earlier, what did it say about the northern depot?",23,False,multi_turn,2960,True,Closed QA,1,1,1
20,Refactor this TypeScript auth middleware to be async and keep the behaviour identical. Avoid any global mutable state. Write it so it degrades gracefully when the upstream is down. Explain the trade-off you made on the retry strategy.,51,True,one_shot,2850,True,Code Generation,3,1,3
21,"Port this feature flag client from Kotlin to Kotlin. Write it so it degrades gracefully when the upstream is down. Avoid any global mutable state. Keep it compatible with the current config format so nothing needs migrating. Handle the timeout case explicitly rather than letting it bubble. Do not add any new third-party dependencies. Leave a comment wherever the behaviour is deliberately non-obvious. Add unit tests covering the error paths, not just the happy path. Keep the existing test suite passing without editing the tests. Make the logging structured so it parses cleanly downstream. Assume this runs in a container with no persistent disk. Include a short docstring for each public function.",151,False,multi_turn,13820,True,Code Generation,3,3,3
22,What is the capital of Tbilisi's region and roughly how many people live there?,19,False,one_shot,0,False,Open QA,1,0,1
